userID;fecha
anom;23/07/2024_09:56
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1721721376,83037;,22991;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1721721380,81393;4,21450;Test1;SALE_HEAD;Limit (5): Part of the level
1721721383,68823;7,08898;Test1;ENTRA_HEAD;Limit (5): Part of the level
1721721390,38340;13,78385;Test1;SALE_HEAD;Limit (11): Part of the level
1721721390,39740;13,79768;Test1;ENTRA_HEAD;Limit (11): Part of the level
1721721390,42540;13,82553;Test1;SALE_HEAD;Limit (11): Part of the level
1721721390,52190;13,92265;Test1;ENTRA_HEAD;Limit (11): Part of the level
1721721391,38299;14,78355;Test1;SALE_HEAD;Limit (11): Part of the level
1721721393,45276;16,85325;Test1;ENTRA_HEAD;Limit (11): Part of the level
1721721396,17446;19,57560;Test1;SALE_HEAD;Limit (11): Part of the level
1721721397,93850;21,33946;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721721397,95263;21,35338;Test1;SALE_HEAD;Action_Left: Part of a Block
1721721403,93487;27,33579;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1721721407,06200;30,46307;Test1;SALE_HEAD;Limit (5): Part of the level
1721721407,15843;30,56020;Test1;ENTRA_HEAD;Limit (5): Part of the level
1721721407,20022;30,60209;Test1;SALE_HEAD;Limit (5): Part of the level
1721721410,67366;34,07488;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721721410,77098;34,17222;Test1;SALE_HEAD;Action_Left: Part of a Block
1721721422,06169;45,46367;Test1;ENTRA_HEAD;Platform: Part of Player Area
1721721422,09001;45,49249;Test1;SALE_HEAD;Platform: Part of Player Area
