userID;fecha
anom;05/06/2024_12:13
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1717582437,68948;,35759;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1717582442,26006;4,92782;Test1;SALE_HEAD;Fence: Part of the level
1717582442,66280;5,33112;Test1;ENTRA_HEAD;Right Wall: Part of Player Area
1717582443,90009;6,56839;Test1;SALE_HEAD;Attach: Part of Player Area
1717582444,15097;6,81912;Test1;ENTRA_HEAD;Limit (6): Part of the level
1717582444,44275;7,11032;Test1;SALE_HEAD;Limit (6): Part of the level
1717582445,24858;7,91681;Test1;ENTRA_HEAD;Right Wall: Part of Player Area
1717582447,61017;10,27816;Test1;SALE_HEAD;Right Wall: Part of Player Area
