userID;fecha
anom;23/07/2024_09:46
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1721720764,92036;,21503;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1721720768,25666;3,55248;Test1;SALE_HEAD;Grass: Part of the level
1721720769,62013;4,91564;Test1;ENTRA_HEAD;Limit (11): Part of the level
1721720771,66259;6,95798;Test1;SALE_HEAD;Limit (5): Part of the level
1721720772,75981;8,05567;Test1;ENTRA_HEAD;Limit (5): Part of the level
1721720773,77444;9,07011;Test1;SALE_HEAD;Limit (5): Part of the level
1721720774,35840;9,65388;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721720774,44144;9,73723;Test1;SALE_HEAD;Action_Left: Part of a Block
1721720774,62220;9,91796;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721720777,28889;12,58466;Test1;SALE_HEAD;Action_Left: Part of Player Area
1721720781,63597;16,93200;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721720781,71870;17,01500;Test1;SALE_HEAD;Action_Left: Part of a Block
1721720783,67692;18,97349;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721720784,55232;19,84849;Test1;SALE_HEAD;Action_Left: Part of Player Area
1721720784,59331;19,89014;Test1;ENTRA_HEAD;Limit (11): Part of the level
1721720785,63576;20,93259;Test1;SALE_HEAD;Limit (11): Part of the level
1721720785,80163;21,09780;Test1;ENTRA_HEAD;Action_Left: Part of Player Area
1721720786,14866;21,44562;Test1;SALE_HEAD;Action_Left: Part of Player Area
1721720790,62083;25,91763;Test1;ENTRA_HEAD;Action_Left: Part of a Block
1721720790,69034;25,98709;Test1;SALE_HEAD;Action_Left: Part of a Block
1721720791,62101;26,91780;Test1;ENTRA_HEAD;Platform: Part of Player Area
