userID;fecha
anom;18/09/2024_13:00
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1726657254,56746;,35964;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
1726657256,71564;2,50829;Test1;SALE_HEAD;Center Wall: Part of Player Area
1726657259,66146;5,45397;Test1;ENTRA_HEAD;Platform: Part of Player Area
1726657260,94086;6,73366;Test1;SALE_HEAD;Center Wall: Part of Player Area
1726657261,02444;6,81757;Test1;ENTRA_HEAD;Col (4): Part of Limits
1726657261,66620;7,45913;Test1;SALE_HEAD;Col (7): Part of Limits
1726657261,74901;7,54184;Test1;ENTRA_HEAD;Center Wall: Part of Player Area
