userID;fecha
FakeUser42;15/01/2024_11:50
unixTimestamp;Timestamp;Situacion;Estado;BPM
1705315837,31855;19,15675;Test1;HIGH;76
1705315842,33833;24,17658;Test1;MEDIUM;73
1705315847,36088;29,19913;Test1;MEDIUM;71
1705315852,37442;34,21263;Test1;MEDIUM;70
1705315857,39545;39,23354;Test1;MEDIUM;68
1705315862,41753;44,25566;Test1;MEDIUM;66
1705315867,44009;49,27822;Test1;MEDIUM;65
1705315872,46188;54,30006;Test1;MEDIUM;65
1705315877,48412;59,32232;Test1;MEDIUM;65
1705315882,49574;64,33381;Test1;MEDIUM;65
1705315887,51790;69,35589;Test1;MEDIUM;66
1705315892,54135;74,37974;Test1;MEDIUM;66
1705315897,55700;79,39510;Test1;MEDIUM;66
1705315902,58166;84,41989;Test1;MEDIUM;66
1705315907,59223;89,43028;Test1;MEDIUM;67
1705315912,61726;94,45551;Test1;MEDIUM;66
1705315917,63695;99,47510;Test1;MEDIUM;66
1705315922,65903;104,49726;Test1;MEDIUM;65
1705315927,68138;109,51948;Test1;MEDIUM;65
1705315932,69386;114,53226;Test1;MEDIUM;65
1705315937,71592;119,55437;Test1;MEDIUM;65
1705315942,73849;124,57657;Test1;MEDIUM;65
1705315947,74942;129,58766;Test1;MEDIUM;67
1705315952,77143;134,60965;Test1;MEDIUM;66
1705315957,79354;139,63174;Test1;MEDIUM;66
1705315962,81609;144,65434;Test1;MEDIUM;66
1705315967,83842;149,67673;Test1;MEDIUM;68
1705315972,84923;154,68727;Test1;MEDIUM;69
1705315977,87155;159,70959;Test1;MEDIUM;69
1705315982,89291;164,73149;Test1;MEDIUM;69
1705315987,91576;169,75424;Test1;MEDIUM;70
1705315992,93420;174,77235;Test1;MEDIUM;68
1705315997,95354;179,79192;Test1;MEDIUM;67
1705316002,97691;184,81522;Test1;MEDIUM;67
1705316007,98720;189,82553;Test1;MEDIUM;68
1705316013,01103;194,84946;Test1;MEDIUM;67
1705316018,03470;199,87279;Test1;MEDIUM;67
1705316023,06119;204,89964;Test1;MEDIUM;66
1705316028,07118;209,90947;Test1;MEDIUM;68
1705316033,10026;214,93893;Test1;MEDIUM;69
1705316038,09998;219,93828;Test1;NONE;0
1705316043,11409;224,95245;Test1;NONE;0
1705316048,13776;229,97598;Test1;NONE;0
1705316053,15949;234,99768;Test1;NONE;0
1705316058,18129;240,01970;Test1;NONE;0
1705316063,20364;245,04187;Test1;NONE;0
1705316068,21538;250,05360;Test1;NONE;0
1705316073,23708;255,07541;Test1;HIGH;80
1705316078,25929;260,09775;Test1;NONE;0
1705316083,28155;265,11987;Test1;NONE;0
