userID;fecha
FakeUser42;12/01/2024_14:08
unixTimestamp;Timestamp;Situacion;Estado;BPM
1705064921,04534;19,20606;Test1;NONE;0
1705064925,97803;24,13889;Test1;NONE;0
1705064931,00003;29,16086;Test1;HIGH;80
1705064936,01595;34,17661;Test1;HIGH;80
1705064941,04551;39,20636;Test1;HIGH;77
1705064946,05958;44,22043;Test1;MEDIUM;74
1705064951,08223;49,24295;Test1;MEDIUM;70
1705064956,09310;54,25370;Test1;NONE;0
1705064961,10337;59,26411;Test1;NONE;0
1705064966,12569;64,28647;Test1;NONE;0
1705064971,14942;69,31001;Test1;NONE;0
1705064976,17010;74,33084;Test1;NONE;0
1705064981,18087;79,34157;Test1;NONE;0
1705064986,20284;84,36357;Test1;NONE;0
1705064991,22461;89,38522;Test1;NONE;0
1705064996,24638;94,40697;Test1;NONE;0
1705065001,26737;99,42796;Test1;NONE;0
