userID;fecha
FakeUser42;12/01/2024_13:32
unixTimestamp;Timestamp;Situacion;Carga Cognitiva;Valor;Desviación
1705062784,33631;47,30051;Test1;MEDIUM;0,4746155;0,1146369
1705062785,33348;48,29773;Test1;MEDIUM;0,4661214;0,1142025
1705062786,33334;49,29775;Test1;MEDIUM;0,4634012;0,1208618
1705062787,33348;50,29761;Test1;MEDIUM;0,4559249;0,1210143
1705062788,33350;51,29782;Test1;MEDIUM;0,4494031;0,1309174
1705062789,33286;52,29731;Test1;MEDIUM;0,4444415;0,1351852
1705062790,33358;53,29763;Test1;MEDIUM;0,6568263;0,1628808
1705062791,33357;54,29756;Test1;MEDIUM;0,657598;0,1691197
1705062792,33376;55,29858;Test1;HIGH;0,6626173;0,1830626
1705062793,33377;56,29787;Test1;HIGH;0,7231895;0,1887165
1705062794,33299;57,29722;Test1;LOW;0,2192022;0,1190713
1705062795,33371;58,29770;Test1;LOW;0,2726832;0,1609267
1705062796,33471;59,29903;Test1;LOW;0,2760471;0,1782605
1705062797,33581;60,30014;Test1;LOW;0,3034679;0,1896534
1705062798,33572;61,29987;Test1;LOW;0,279692;0,1810488
1705062799,32910;62,29308;Test1;LOW;0,3007453;0,1672757
1705062800,33616;63,30051;Test1;LOW;0,3269753;0,1770111
1705062801,32527;64,28927;Test1;MEDIUM;0,360357;0,1858894
1705062802,33510;65,30002;Test1;LOW;0,3285618;0,1817077
1705062803,33554;66,29982;Test1;LOW;0,2882345;0,1386219
1705062804,33583;67,29988;Test1;LOW;0,3144777;0,1638471
1705062805,32581;68,28992;Test1;MEDIUM;0,3344253;0,19423
1705062806,33612;69,30025;Test1;LOW;0,2912721;0,1790535
1705062807,33548;70,29988;Test1;LOW;0,2730243;0,180099
1705062808,32683;71,29092;Test1;LOW;0,2576388;0,1755518
1705062809,32576;72,28985;Test1;LOW;0,2393685;0,1895157
1705062810,32622;73,29037;Test1;LOW;0,2265474;0,1889337
1705062811,32589;74,28999;Test1;HIGH;0,665443;0,1825662
1705062812,32589;75,29027;Test1;MEDIUM;0,6314152;0,1894058
1705062813,32648;76,29063;Test1;MEDIUM;0,644545;0,1955147
1705062814,32654;77,29083;Test1;MEDIUM;0,6571921;0,2156771
1705062815,32663;78,29066;Test1;HIGH;0,6986696;0,2169999
1705062816,32552;79,29038;Test1;LOW;0,251572;0,2238654
1705062817,32705;80,29105;Test1;LOW;0,2730301;0,216309
1705062818,32606;81,29034;Test1;LOW;0,2689015;0,2160145
1705062819,33666;82,30086;Test1;LOW;0,2744702;0,2347239
1705062820,33712;83,30112;Test1;MEDIUM;0,6263976;0,2535291
1705062821,33665;84,30081;Test1;MEDIUM;0,6498979;0,2335442
1705062822,33649;85,30069;Test1;MEDIUM;0,6439656;0,2272853
1705062823,33607;86,30052;Test1;MEDIUM;0,6354648;0,2307967
1705062824,33590;87,30009;Test1;MEDIUM;0,6459712;0,2127963
1705062825,33600;88,30033;Test1;MEDIUM;0,6481038;0,2023398
1705062826,33664;89,30067;Test1;MEDIUM;0,6581283;0,1870438
1705062827,33653;90,30066;Test1;MEDIUM;0,6575426;0,1832218
1705062828,33633;91,30045;Test1;HIGH;0,6955208;0,1642524
1705062829,33527;92,30008;Test1;HIGH;0,7084925;0,1471104
1705062830,33611;93,30022;Test1;MEDIUM;0,5381112;0,1398484
1705062831,33516;94,30008;Test1;MEDIUM;0,5739945;0,1169333
1705062832,32554;95,28965;Test1;MEDIUM;0,5648631;0,1187931
1705062833,33518;96,29990;Test1;MEDIUM;0,5657783;0,1177819
1705062834,32551;97,28983;Test1;MEDIUM;0,5645769;0,1177454
1705062835,33251;98,29660;Test1;MEDIUM;0,5706969;0,1193641
1705062836,32614;99,29032;Test1;MEDIUM;0,5709502;0,1184239
1705062837,32546;100,28962;Test1;MEDIUM;0,5778631;0,1213773
1705062838,33465;101,29957;Test1;MEDIUM;0,5750005;0,1266539
1705062839,33644;102,30050;Test1;MEDIUM;0,5607654;0,133133
1705062840,33561;103,29977;Test1;MEDIUM;0,5746777;0,1374948
1705062841,32486;104,28971;Test1;MEDIUM;0,5760285;0,1457607
1705062842,32540;105,28962;Test1;MEDIUM;0,5785801;0,150408
1705062843,33468;106,29935;Test1;MEDIUM;0,5339944;0,1534572
1705062844,33609;107,30032;Test1;MEDIUM;0,5259113;0,1490674
1705062845,32564;108,28976;Test1;MEDIUM;0,5024255;0,1497264
1705062846,32542;109,28979;Test1;LOW;0,2201345;0,1511934
1705062847,32562;110,28963;Test1;LOW;0,2005931;0,1498151
1705062848,34015;111,30424;Test1;MEDIUM;0,4545418;0,1468418
1705062849,32611;112,29031;Test1;MEDIUM;0,4358126;0,1504955
1705062850,32490;113,28925;Test1;LOW;0,2093059;0,1603528
1705062851,32865;114,29269;Test1;LOW;0,2305325;0,1635756
1705062852,32567;115,29003;Test1;LOW;0,2622724;0,1664043
1705062874,35889;137,32359;Test1;LOW;0,2597986;0,1546489
1705062874,39120;137,35570;Test1;LOW;0,2773487;0,1523525
1705062918,32581;181,29042;Test1;MEDIUM;0,5730194;0,167599
1705062919,32471;182,28960;Test1;MEDIUM;0,3723716;0,1701405
1705062920,33351;183,29822;Test1;MEDIUM;0,4287043;0,1559862
1705062921,32411;184,28882;Test1;LOW;0,3105204;0,1008862
1705062922,32361;185,28809;Test1;LOW;0,3142354;0,08458074
1705062923,32327;186,28809;Test1;LOW;0,2581649;0,06427138
1705062924,32457;187,28900;Test1;LOW;0,2551125;0,06021836
1705062925,31681;188,28099;Test1;LOW;0,2235365;0,05623764
