userID;fecha
FakeUser42;12/01/2024_10:07
unixTimestamp;Timestamp;Situacion;Estado;BPM
1705050485,39762;20,36321;Test1;HIGH;81
1705050490,41829;25,38359;Test1;HIGH;80
1705050495,44217;30,40760;Test1;HIGH;80
1705050500,46412;35,42965;Test1;HIGH;80
1705050505,48731;40,45245;Test1;HIGH;79
1705050510,49811;45,46363;Test1;HIGH;79
1705050515,52072;50,48631;Test1;HIGH;80
1705050520,54222;55,50746;Test1;HIGH;81
1705050525,56394;60,52911;Test1;HIGH;77
1705050530,58796;65,55336;Test1;HIGH;77
1705050535,61016;70,57572;Test1;HIGH;76
1705050540,63023;75,59577;Test1;MEDIUM;74
1705050545,65244;80,61762;Test1;MEDIUM;71
1705050550,67442;85,63960;Test1;MEDIUM;71
1705050555,69586;90,66145;Test1;MEDIUM;72
1705050560,71856;95,68393;Test1;MEDIUM;73
1705050565,74149;100,70699;Test1;MEDIUM;73
1705050570,75357;105,71876;Test1;MEDIUM;72
1705050575,77419;110,73951;Test1;MEDIUM;73
1705050580,80370;115,76924;Test1;MEDIUM;72
1705050585,81866;120,78379;Test1;MEDIUM;72
1705050590,84083;125,80605;Test1;MEDIUM;73
1705050595,86239;130,82797;Test1;MEDIUM;75
1705050600,88464;135,85056;Test1;HIGH;76
1705050605,90717;140,87234;Test1;HIGH;79
1705050610,91703;145,88284;Test1;HIGH;79
1705050615,94032;150,90561;Test1;HIGH;79
1705050620,96239;155,92755;Test1;HIGH;79
1705050625,98471;160,95047;Test1;HIGH;78
1705050631,00674;165,97202;Test1;MEDIUM;75
1705050636,02868;170,99426;Test1;MEDIUM;74
1705050641,05089;176,01624;Test1;MEDIUM;74
1705050646,06279;181,02835;Test1;MEDIUM;73
1705050651,08450;186,04996;Test1;HIGH;77
1705050656,10677;191,07193;Test1;HIGH;78
1705050661,11869;196,08420;Test1;HIGH;76
1705050666,14081;201,10596;Test1;MEDIUM;75
1705050671,16196;206,12720;Test1;MEDIUM;73
1705050676,17292;211,13852;Test1;MEDIUM;70
1705050681,19431;216,16003;Test1;MEDIUM;69
1705050686,21743;221,18271;Test1;MEDIUM;70
1705050691,22890;226,19409;Test1;MEDIUM;72
1705050696,25080;231,21597;Test1;MEDIUM;74
1705050701,27223;236,23743;Test1;MEDIUM;73
1705050706,29451;241,25974;Test1;MEDIUM;73
1705050711,33931;246,30490;Test1;MEDIUM;70
1705050716,33954;251,30469;Test1;MEDIUM;71
1705050721,35037;256,31561;Test1;MEDIUM;67
1705050726,38424;261,34976;Test1;MEDIUM;68
1705050731,39410;266,35950;Test1;MEDIUM;69
1705050736,40570;271,37109;Test1;MEDIUM;70
1705050741,42801;276,39325;Test1;MEDIUM;69
1705050746,45027;281,41544;Test1;MEDIUM;70
1705050751,47195;286,43738;Test1;MEDIUM;71
1705050756,48436;291,44980;Test1;MEDIUM;72
1705050761,50589;296,47186;Test1;MEDIUM;73
1705050766,52778;301,49292;Test1;MEDIUM;73
1705050771,54978;306,51529;Test1;MEDIUM;73
1705050776,57127;311,53662;Test1;MEDIUM;74
1705050781,58345;316,54868;Test1;MEDIUM;74
1705050786,60559;321,57071;Test1;MEDIUM;74
1705050791,62709;326,59259;Test1;MEDIUM;75
1705050796,65008;331,61554;Test1;HIGH;77
