userID;fecha
FakeUser42;15/01/2024_10:27
unixTimestamp;Timestamp;Situacion;Estado;BPM
1705310860,96870;20,16818;Test1;NONE;0
1705310865,98823;25,18768;Test1;NONE;0
1705310871,02359;30,22305;Test1;MEDIUM;73
1705310876,03479;35,23459;Test1;MEDIUM;71
1705310881,05687;40,25636;Test1;LOW;45
1705310886,07851;45,27869;Test1;LOW;59
1705310891,10392;50,30341;Test1;LOW;53
1705310896,12398;55,32374;Test1;LOW;52
1705310901,14655;60,34618;Test1;LOW;54
1705310906,16813;65,36794;Test1;LOW;57
1705310911,18973;70,38921;Test1;LOW;60
1705310916,21271;75,41214;Test1;LOW;61
1705310921,23421;80,43375;Test1;LOW;62
1705310926,25622;85,45563;Test1;LOW;62
1705310931,27843;90,47787;Test1;MEDIUM;63
1705310936,30042;95,50017;Test1;MEDIUM;63
1705310941,32312;100,52285;Test1;LOW;61
1705310946,34516;105,54495;Test1;LOW;59
1705310951,37331;110,57291;Test1;LOW;61
1705310956,37839;115,57777;Test1;LOW;58
1705310961,40047;120,60027;Test1;LOW;54
1705310966,42298;125,62270;Test1;LOW;55
1705310971,44509;130,64484;Test1;LOW;57
1705310976,46711;135,66696;Test1;LOW;59
1705310981,48886;140,68904;Test1;LOW;59
1705310986,51335;145,71318;Test1;MEDIUM;63
1705310991,53291;150,73264;Test1;LOW;57
1705310996,55533;155,75484;Test1;LOW;50
1705311001,57682;160,77660;Test1;LOW;57
1705311006,60249;165,80220;Test1;LOW;58
1705311011,61123;170,81100;Test1;LOW;33
1705311016,63362;175,83339;Test1;LOW;57
1705311021,67763;180,87737;Test1;LOW;56
1705311026,67723;185,87682;Test1;LOW;58
1705311031,69974;190,89928;Test1;LOW;58
1705311036,73358;195,93297;Test1;LOW;53
1705311041,74387;200,94366;Test1;LOW;36
1705311046,77055;205,97029;Test1;LOW;47
1705311051,78845;210,98827;Test1;MEDIUM;65
1705311056,81090;216,01048;Test1;MEDIUM;68
1705311061,83238;221,03194;Test1;MEDIUM;67
1705311066,84451;226,04390;Test1;MEDIUM;69
1705311071,86650;231,06598;Test1;MEDIUM;63
1705311076,88841;236,08827;Test1;MEDIUM;64
1705311081,91050;241,11034;Test1;LOW;60
1705311086,93489;246,13516;Test1;LOW;57
1705311091,95411;251,15356;Test1;LOW;58
1705311096,97637;256,17599;Test1;LOW;60
1705311101,98730;261,18698;Test1;NONE;0
1705311107,00950;266,20917;Test1;NONE;0
1705311112,03167;271,23141;Test1;NONE;0
1705311117,05291;276,25256;Test1;NONE;0
1705311122,07531;281,27509;Test1;NONE;0
1705311127,08724;286,28696;Test1;NONE;0
