userID;fecha
FakeUser42;12/01/2024_14:14
unixTimestamp;Timestamp;Situacion;Estado;BPM
1705065281,56138;19,64190;Test1;HIGH;80
1705065286,58176;24,66235;Test1;MEDIUM;75
1705065291,60331;29,68405;Test1;MEDIUM;73
1705065296,62671;34,70724;Test1;MEDIUM;72
1705065301,64272;39,72327;Test1;MEDIUM;72
1705065306,66458;44,74527;Test1;MEDIUM;72
1705065311,68974;49,77047;Test1;MEDIUM;74
1705065316,69657;54,77790;Test1;HIGH;78
1705065321,71895;59,79952;Test1;HIGH;79
1705065326,74189;64,82237;Test1;HIGH;79
1705065331,76402;69,84484;Test1;HIGH;78
