userID;fecha
FakeUser42;15/01/2024_10:39
unixTimestamp;Timestamp;Situacion;Carga Cognitiva;Valor;Desviación
1705311630,96159;60,37051;Test1;MEDIUM;0,6535966;0,172597
1705311631,96877;61,37808;Test1;MEDIUM;0,6266366;0,1333738
1705311632,95894;62,36804;Test1;MEDIUM;0,6270065;0,1128711
1705311633,95893;63,36794;Test1;MEDIUM;0,6278183;0,1040781
1705311634,95886;64,36792;Test1;MEDIUM;0,6286747;0,09464779
1705311635,95887;65,36785;Test1;MEDIUM;0,6331043;0,09062177
1705311636,95993;66,36849;Test1;MEDIUM;0,6430836;0,08054093
1705311637,95888;67,36774;Test1;MEDIUM;0,6317856;0,08772797
1705311638,95912;68,36769;Test1;MEDIUM;0,6537378;0,1144454
1705311639,95892;69,36783;Test1;MEDIUM;0,6326019;0,1064885
1705311640,96297;70,37192;Test1;MEDIUM;0,5531924;0,1304919
1705311641,96924;71,37814;Test1;HIGH;0,7175842;0,1322175
1705311642,95873;72,36757;Test1;HIGH;0,7017206;0,1539424
1705311643,95871;73,36761;Test1;HIGH;0,6605581;0,1678591
1705311644,95930;74,36787;Test1;HIGH;0,6908221;0,1652924
1705311645,95866;75,36752;Test1;HIGH;0,7003615;0,1649584
1705311646,95834;76,36726;Test1;HIGH;0,7505106;0,1583464
1705311647,95828;77,36720;Test1;MEDIUM;0,5915219;0,1466263
1705311648,95873;78,36723;Test1;HIGH;0,797597;0,1436425
1705311649,95896;79,36758;Test1;HIGH;0,7838039;0,1404963
1705311650,95887;80,36757;Test1;HIGH;0,7849631;0,1315473
1705311651,95835;81,36721;Test1;HIGH;0,7827751;0,126777
1705311652,96008;82,36856;Test1;HIGH;0,7598435;0,1275068
1705311653,95908;83,36763;Test1;HIGH;0,745597;0,1319279
1705311654,95864;84,36726;Test1;HIGH;0,7575937;0,1284073
1705311655,96912;85,37775;Test1;HIGH;0,764131;0,1293892
1705311656,95877;86,36741;Test1;HIGH;0,7741308;0,1299587
1705311657,95862;87,36716;Test1;HIGH;0,7409439;0,1394486
1705311658,95899;88,36764;Test1;HIGH;0,7479802;0,1465423
1705311659,95871;89,36723;Test1;HIGH;0,7323374;0,1616845
1705311660,95866;90,36727;Test1;HIGH;0,7387593;0,1638815
1705311661,95860;91,36720;Test1;LOW;0,3276797;0,1605437
1705311662,95866;92,36733;Test1;MEDIUM;0,3665895;0,150607
1705311663,95810;93,36697;Test1;MEDIUM;0,3466828;0,1397346
1705311664,95804;94,36673;Test1;MEDIUM;0,3506753;0,1278494
1705311665,95817;95,36690;Test1;LOW;0,3120779;0,1142483
1705311666,95850;96,36729;Test1;LOW;0,2824043;0,1029777
1705311667,95802;97,36673;Test1;LOW;0,2575029;0,1006292
1705311668,95869;98,36739;Test1;LOW;0,2562654;0,1115276
1705311669,95808;99,36685;Test1;LOW;0,2745186;0,1286199
1705311670,95866;100,36727;Test1;LOW;0,3057306;0,1403873
1705311671,95799;101,36649;Test1;LOW;0,2861714;0,1252725
1705311672,95819;102,36683;Test1;LOW;0,3247341;0,1362077
1705311673,95796;103,36671;Test1;MEDIUM;0,333511;0,140314
1705311674,95822;104,36702;Test1;MEDIUM;0,3527888;0,1574502
1705311675,96398;105,37257;Test1;HIGH;0,8094369;0,1625776
1705311676,95850;106,36744;Test1;HIGH;0,7279696;0,1749747
1705311677,95844;107,36700;Test1;HIGH;0,6813393;0,1719185
1705311678,95815;108,36670;Test1;HIGH;0,677209;0,175537
1705311679,95831;109,36700;Test1;HIGH;0,7152075;0,1702582
1705311680,95837;110,36714;Test1;HIGH;0,701458;0,1780161
1705311681,95827;111,36695;Test1;HIGH;0,6749924;0,1812176
1705311682,95842;112,36710;Test1;MEDIUM;0,6582657;0,1779168
1705311683,95820;113,36690;Test1;MEDIUM;0,6306052;0,1750295
1705311684,95818;114,36684;Test1;MEDIUM;0,6017267;0,1577118
1705311685,95792;115,36686;Test1;MEDIUM;0,6204179;0,1427793
1705311686,95876;116,36730;Test1;MEDIUM;0,6481301;0,1181869
1705311687,95781;117,36636;Test1;MEDIUM;0,655962;0,1055344
1705311688,95782;118,36638;Test1;MEDIUM;0,6548149;0,09446724
1705311689,95816;119,36703;Test1;MEDIUM;0,6399001;0,1009575
1705311690,95788;120,36652;Test1;MEDIUM;0,6461029;0,09793924
1705311691,95876;121,36769;Test1;MEDIUM;0,6516728;0,09430012
1705311692,95836;122,36713;Test1;MEDIUM;0,6552248;0,09317059
1705311693,95921;123,36771;Test1;HIGH;0,6605461;0,09628361
1705311694,95831;124,36700;Test1;MEDIUM;0,6595262;0,108563
1705311695,94744;125,35612;Test1;HIGH;0,6657572;0,1090594
1705311696,95862;126,36711;Test1;HIGH;0,6710471;0,1074574
1705311697,94679;127,35547;Test1;HIGH;0,6943172;0,1026472
1705311698,95827;128,36691;Test1;HIGH;0,700078;0,09492076
1705311699,94719;129,35580;Test1;HIGH;0,7202102;0,08971892
