userID;fecha
FakeUser42;15/01/2024_10:27
unixTimestamp;Timestamp;Situacion;Carga Cognitiva;Valor;Desviación
1705310887,64876;46,84893;Test1;MEDIUM;0,6005218;0,1081248
1705310888,64683;47,84621;Test1;MEDIUM;0,6008469;0,1162838
1705310889,64685;48,84649;Test1;MEDIUM;0,5793067;0,1337276
1705310890,63764;49,83725;Test1;MEDIUM;0,5675724;0,1387754
1705310891,64653;50,84604;Test1;MEDIUM;0,5979037;0,1510064
1705310892,64666;51,84637;Test1;MEDIUM;0,5681722;0,1603253
1705310893,63495;52,83467;Test1;MEDIUM;0,4527554;0,1169695
1705310894,63579;53,83537;Test1;MEDIUM;0,4495599;0,1198695
1705310895,63486;54,83461;Test1;MEDIUM;0,4272894;0,1398036
1705310896,63564;55,83527;Test1;MEDIUM;0,407164;0,170051
1705310897,63821;56,83768;Test1;MEDIUM;0,3948433;0,1843196
1705310898,63538;57,83493;Test1;MEDIUM;0,3324412;0,2132188
1705310899,63511;58,83480;Test1;LOW;0,2928022;0,222489
1705310900,63479;59,83459;Test1;HIGH;0,7348839;0,2060301
1705310901,63541;60,83516;Test1;HIGH;0,6931383;0,1927871
1705310902,63482;61,83480;Test1;MEDIUM;0,6452395;0,1807966
1705310903,63481;62,83464;Test1;MEDIUM;0,6247563;0,1501974
1705310904,63846;63,83845;Test1;MEDIUM;0,6448613;0,1249174
1705310905,63488;64,83434;Test1;HIGH;0,7118876;0,1036677
1705310906,63493;65,83468;Test1;HIGH;0,7161084;0,09124909
1705310907,63457;66,83436;Test1;HIGH;0,7102528;0,09232125
1705310908,63500;67,83470;Test1;HIGH;0,7216336;0,08492149
1705310909,63657;68,83614;Test1;HIGH;0,7112062;0,08038195
1705310910,64701;69,84659;Test1;HIGH;0,7081001;0,07475584
1705310911,63527;70,83485;Test1;HIGH;0,7102165;0,0763723
1705310912,63566;71,83504;Test1;HIGH;0,7066749;0,07586391
1705310913,63497;72,83482;Test1;HIGH;0,7075584;0,0806739
1705310914,63527;73,83465;Test1;HIGH;0,7026635;0,08039374
1705310915,63480;74,83447;Test1;HIGH;0,6946491;0,08977162
1705310916,63464;75,83411;Test1;HIGH;0,6791247;0,09364439
1705310917,63475;76,83438;Test1;HIGH;0,6701024;0,09931577
1705310918,63506;77,83447;Test1;MEDIUM;0,6558072;0,1075599
1705310919,63491;78,83438;Test1;MEDIUM;0,6466869;0,1194162
1705310920,63489;79,83440;Test1;MEDIUM;0,6387278;0,1271761
1705310921,63450;80,83399;Test1;MEDIUM;0,6190969;0,1331999
1705310922,62994;81,82985;Test1;MEDIUM;0,6042174;0,1464778
1705310923,63470;82,83423;Test1;MEDIUM;0,5821749;0,1647705
1705310924,63483;83,83437;Test1;MEDIUM;0,5964794;0,1877764
1705310925,64845;84,84842;Test1;MEDIUM;0,6132311;0,2011729
1705310926,63473;85,83445;Test1;MEDIUM;0,6252194;0,1990622
1705310927,63501;86,83459;Test1;MEDIUM;0,6446418;0,1864745
1705310928,63793;87,83739;Test1;HIGH;0,7266594;0,1440601
1705310929,63456;88,83424;Test1;HIGH;0,763137;0,15208
1705310930,63783;89,83720;Test1;MEDIUM;0,3599608;0,161415
1705310931,63445;90,83427;Test1;MEDIUM;0,374183;0,1584716
1705310932,63483;91,83441;Test1;HIGH;0,76641;0,1748259
1705310933,64634;92,84599;Test1;HIGH;0,7710364;0,1844968
1705310934,63520;93,83469;Test1;LOW;0,3017706;0,1913413
1705310935,63504;94,83460;Test1;LOW;0,3214706;0,1889471
1705310936,63482;95,83452;Test1;LOW;0,2845279;0,2001492
1705310937,63684;96,83670;Test1;HIGH;0,7079626;0,1959494
1705310938,63440;97,83422;Test1;MEDIUM;0,6406591;0,2155584
1705310939,63465;98,83425;Test1;MEDIUM;0,6109627;0,2118778
1705310940,63491;99,83440;Test1;MEDIUM;0,6125789;0,2014649
1705310941,63434;100,83416;Test1;MEDIUM;0,6442799;0,1863241
1705310942,63481;101,83434;Test1;MEDIUM;0,4915552;0,1642765
1705310943,63485;102,83438;Test1;MEDIUM;0,5267406;0,1280424
1705310944,63507;103,83454;Test1;MEDIUM;0,5207404;0,1296272
1705310945,63475;104,83414;Test1;MEDIUM;0,5197871;0,1531853
1705310946,63447;105,83415;Test1;MEDIUM;0,545123;0,1677562
1705310947,63475;106,83434;Test1;MEDIUM;0,5329014;0,1715592
1705310948,63425;107,83410;Test1;MEDIUM;0,5318569;0,1681585
1705310949,63513;108,83463;Test1;MEDIUM;0,5073863;0,1817632
1705310950,63407;109,83383;Test1;MEDIUM;0,5468902;0,184359
1705310951,63491;110,83436;Test1;MEDIUM;0,5801191;0,1929622
1705310952,63485;111,83425;Test1;MEDIUM;0,4364022;0,1733248
1705310953,63417;112,83389;Test1;MEDIUM;0,4206618;0,1662062
1705310954,63411;113,83389;Test1;MEDIUM;0,4118948;0,1559836
1705310955,63535;114,83479;Test1;MEDIUM;0,3957136;0,1495001
1705310956,63437;115,83385;Test1;MEDIUM;0,4226186;0,1528192
1705310957,63423;116,83406;Test1;MEDIUM;0,4211417;0,157682
1705310958,63445;117,83383;Test1;MEDIUM;0,4364457;0,1787092
